2019-08-09 00:00:00 Launching analysis for 1113064533 with LEAN Engine v2.5.0.0
2019-08-09 00:00:00 Accurate daily end-times now enabled by default. See more at https://qnt.co/3YHaWHL. To disable it and use legacy daily bars set self.settings.daily_precise_end_time = False.
2019-08-09 00:00:00 Algorithm starting warm up...
2020-01-02 11:00:00 Algorithm finished warming up.
2021-04-14 16:00:00 Rebalancing PLTR: Current Weight: 10.42%, Target Weight: -11.11%, Price: $23.70, EMA: $23.86
2021-04-20 16:00:00 Rebalancing PLTR: Current Weight: -10.06%, Target Weight: -11.11%, Price: $21.78, EMA: $23.34
2021-04-23 16:00:00 Rebalancing PLTR: Current Weight: -12.00%, Target Weight: 11.11%, Price: $23.41, EMA: $23.25
2021-04-29 16:00:00 Rebalancing PLTR: Current Weight: 11.09%, Target Weight: -11.11%, Price: $23.37, EMA: $23.42
2021-05-03 16:00:00 Rebalancing NVDA: Current Weight: 10.62%, Target Weight: -11.11%, Price: $593.47, EMA: $596.63
2021-05-05 16:00:00 Rebalancing PLTR: Current Weight: -9.96%, Target Weight: -11.11%, Price: $21.15, EMA: $22.94
2021-05-07 16:00:00 Rebalancing NVDA: Current Weight: -10.49%, Target Weight: 11.11%, Price: $592.49, EMA: $591.86
2021-05-10 16:00:00 Rebalancing PLTR: Current Weight: -9.60%, Target Weight: -11.11%, Price: $18.47, EMA: $22.02
2021-05-10 16:00:00 Rebalancing NVDA: Current Weight: 10.61%, Target Weight: -11.11%, Price: $570.63, EMA: $589.84
2021-05-11 16:00:00 Rebalancing PLTR: Current Weight: -12.34%, Target Weight: -11.11%, Price: $20.21, EMA: $21.84
2021-05-13 16:00:00 Rebalancing PLTR: Current Weight: -9.92%, Target Weight: -11.11%, Price: $18.37, EMA: $21.26
2021-05-14 16:00:00 Rebalancing PLTR: Current Weight: -12.27%, Target Weight: -11.11%, Price: $20.08, EMA: $21.15
2021-05-18 16:00:00 Rebalancing PLTR: Current Weight: -11.77%, Target Weight: 11.11%, Price: $21.24, EMA: $21.10
2021-05-19 16:00:00 Rebalancing PLTR: Current Weight: 10.67%, Target Weight: -11.11%, Price: $20.67, EMA: $21.06
2021-05-20 16:00:00 Rebalancing NVDA: Current Weight: -11.05%, Target Weight: 11.11%, Price: $584.50, EMA: $576.40
2021-05-24 16:00:00 Rebalancing PLTR: Current Weight: -11.46%, Target Weight: 11.11%, Price: $21.22, EMA: $21.01
2021-05-28 16:00:00 Rebalancing NVDA: Current Weight: 12.19%, Target Weight: 11.11%, Price: $649.78, EMA: $599.03
2021-06-02 16:00:00 Rebalancing PLTR: Current Weight: 12.47%, Target Weight: 11.11%, Price: $24.45, EMA: $21.88
2021-06-17 16:00:00 Rebalancing NVDA: Current Weight: 12.25%, Target Weight: 11.11%, Price: $746.29, EMA: $677.88
2021-07-01 16:00:00 Rebalancing PLTR: Current Weight: 10.94%, Target Weight: -11.11%, Price: $24.72, EMA: $25.22
2021-07-13 16:00:00 Rebalancing PLTR: Current Weight: -9.93%, Target Weight: -11.11%, Price: $22.45, EMA: $24.24
2021-07-15 16:00:00 Rebalancing NVDA: Current Weight: 10.89%, Target Weight: -11.11%, Price: $758.65, EMA: $777.33
2021-07-20 16:00:00 Rebalancing NVDA: Current Weight: -2.48%, Target Weight: -11.11%, Price: $186.12, EMA: $714.81
2021-07-23 16:00:00 Rebalancing PLTR: Current Weight: -10.02%, Target Weight: -11.11%, Price: $21.81, EMA: $22.93
2021-08-05 16:00:00 Rebalancing PLTR: Current Weight: -11.55%, Target Weight: 11.11%, Price: $22.52, EMA: $22.49
2021-08-05 16:00:00 Rebalancing NVDA: Current Weight: -12.34%, Target Weight: -11.11%, Price: $206.37, EMA: $353.47
2021-08-06 16:00:00 Rebalancing PLTR: Current Weight: 10.76%, Target Weight: -11.11%, Price: $21.82, EMA: $22.43
2021-08-09 16:00:00 Rebalancing PLTR: Current Weight: -11.70%, Target Weight: 11.11%, Price: $22.93, EMA: $22.48
2021-08-11 16:00:00 Rebalancing PLTR: Current Weight: 10.80%, Target Weight: -11.11%, Price: $22.35, EMA: $22.50
2021-08-12 16:00:00 Rebalancing PLTR: Current Weight: -12.24%, Target Weight: 11.11%, Price: $24.89, EMA: $22.73
2021-08-18 16:00:00 Rebalancing NVDA: Current Weight: -10.07%, Target Weight: -11.11%, Price: $190.40, EMA: $261.09
2021-08-20 16:00:00 Rebalancing NVDA: Current Weight: -12.25%, Target Weight: -11.11%, Price: $208.16, EMA: $250.61
2021-09-16 16:00:00 Rebalancing PLTR: Current Weight: 12.70%, Target Weight: 11.11%, Price: $28.63, EMA: $25.93
2021-09-23 16:00:00 Rebalancing NVDA: Current Weight: -11.74%, Target Weight: 11.11%, Price: $224.82, EMA: $223.94
2021-09-24 16:00:00 Rebalancing NVDA: Current Weight: 10.77%, Target Weight: -11.11%, Price: $220.81, EMA: $223.64
2021-09-28 16:00:00 Rebalancing PLTR: Current Weight: 9.89%, Target Weight: -11.11%, Price: $25.34, EMA: $26.71
2021-10-04 16:00:00 Rebalancing PLTR: Current Weight: -9.96%, Target Weight: -11.11%, Price: $23.17, EMA: $25.80
2021-10-04 16:00:00 Rebalancing NVDA: Current Weight: -9.72%, Target Weight: -11.11%, Price: $197.32, EMA: $215.68
2021-10-14 16:00:00 Rebalancing NVDA: Current Weight: -12.37%, Target Weight: 11.11%, Price: $217.46, EMA: $212.26
2021-10-19 16:00:00 Rebalancing PLTR: Current Weight: -11.99%, Target Weight: 11.11%, Price: $24.69, EMA: $24.60
